VgosDB,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_B,Total_D,Total_E,Total_F,Total_G,Total_H,Total_N,Total_-
20210204-r4984,43,0,0,0,0,0,0,0,46,741,0,0,0,0,0,0,6,0
20210208-r1985,99,0,0,1,5,4,18,81,300,1584,0,0,0,0,3,5,0,0
20210211-r4985,24,0,0,0,1,0,0,1,5,228,0,0,0,0,1,0,0,462
20210216-r1986,179,0,0,1,3,10,36,157,648,2069,0,0,0,0,1,0,92,454
20210218-r4986,53,0,0,0,0,0,0,1,23,429,0,0,0,0,0,0,0,18
20210222-r1987,211,0,0,0,6,12,68,261,866,2106,0,0,0,0,1,1,0,0
20210225-r4987,44,0,0,0,1,0,0,1,7,269,0,0,0,0,0,0,0,324
20210301-r1988,3,0,0,0,0,0,1,1,5,61,0,0,0,0,5,0,102,428
20210304-r4988,48,0,0,0,0,0,0,5,40,434,0,0,0,0,0,1,18,0
20210308-r1989,67,0,0,0,0,0,2,21,51,192,0,0,0,0,1,0,0,130
20210311-r4989,190,0,0,0,0,1,0,3,29,406,0,0,0,0,1,0,0,0
20210315-r1990,21,0,0,0,0,5,2,26,24,206,0,0,0,0,0,0,62,0
20210318-r4990,363,0,0,0,0,0,0,14,52,490,0,0,0,0,5,2,0,0
20210323-r1991,110,0,0,1,3,7,19,84,476,2245,0,0,0,0,0,1,0,316
20210325-r4991,51,0,0,0,0,4,11,24,68,702,0,0,0,0,2,0,0,0
20210329-r1992,140,0,0,0,0,2,10,41,146,520,0,0,0,0,0,1,2,0
20210331-r4992,68,0,0,0,0,1,0,7,48,456,0,0,0,0,0,2,0,0
20210406-r1993,182,0,0,0,0,13,51,297,727,1818,0,0,0,0,1,1,0,60
20210408-r4993,68,0,0,0,0,0,2,13,82,941,0,0,0,0,0,2,16,0
20210412-r1994,93,0,0,0,0,1,1,20,169,682,0,0,0,0,0,0,44,92
20210415-r4994,143,0,0,0,0,0,1,12,130,756,0,0,0,0,16,2,0,0
20210419-r1995,167,0,0,0,0,2,12,45,177,858,0,0,0,0,1,0,0,0
20210422-r4995,134,0,0,0,1,7,1,12,146,824,0,0,0,0,14,1,2,0
20210426-r1996,259,0,0,2,3,44,46,67,98,207,0,0,0,0,2,2,0,32
20210429-r4996,623,0,0,0,0,0,0,52,68,356,0,0,0,0,9,0,0,0
20210503-r1997,537,0,0,0,0,0,1,6,93,295,0,0,0,0,0,0,0,0
20210505-rd2104,212,0,0,0,0,0,0,0,9,181,0,0,0,0,0,0,0,0
20210506-r4997,608,0,0,0,0,0,2,7,79,331,0,0,0,0,9,0,106,0
20210510-r1998,333,0,0,0,0,0,0,5,47,183,0,0,0,0,0,0,212,0
20210511-t2146,181,0,0,0,0,1,2,4,19,65,0,0,0,0,0,0,4,732
20210518-r1999,319,0,0,1,6,34,113,312,1342,2180,0,0,0,0,5,0,60,552
20210520-r4999,236,0,0,0,0,1,1,40,275,911,0,0,0,0,3,1,0,0
20210525-r11000,25,0,0,0,0,2,4,38,401,360,0,0,0,0,0,0,0,1540
20210527-r41000,196,0,0,0,0,0,0,2,36,510,0,0,0,0,4,0,0,580
20210531-r11001,19,0,0,0,0,0,0,0,5,52,0,0,0,0,0,0,0,578
20210603-r41001,139,0,0,0,0,0,1,19,42,418,0,0,0,0,5,0,0,1014
20210607-r11002,141,0,0,0,1,2,44,329,556,847,0,0,0,0,6,0,4,0
20210609-r41002,217,0,0,0,0,0,1,15,51,378,0,0,0,0,4,0,34,0
20210614-r11003,434,0,0,0,0,1,26,90,441,1422,0,0,0,0,21,1,0,0
20210617-r41003,304,0,0,0,0,0,4,30,73,434,0,0,0,0,3,2,0,0
20210621-r11004,30,0,0,0,0,1,2,18,104,139,0,0,0,0,2,0,8,0
20210623-rd2105,40,0,0,0,0,0,1,1,36,38,0,0,0,0,0,0,370,0
20210624-r41004,194,0,0,0,0,0,1,28,241,580,0,0,0,0,24,20,10,0
20210628-r11005,64,0,0,0,0,7,17,62,198,339,0,0,0,0,1,4,0,8
20210701-r41005,68,0,0,0,0,0,8,67,124,401,0,0,0,0,8,0,2,778
20210706-r11006,10,0,0,0,0,0,0,0,7,25,0,0,0,0,0,0,0,338
20210708-r41006,405,0,0,0,0,1,4,29,102,807,0,0,0,0,9,49,0,238
20210712-r11007,435,0,0,0,5,32,46,160,352,1155,0,0,0,0,5,2,968,0
20210713-t2147,0,0,0,0,0,0,0,5,48,269,0,0,0,0,0,0,251,754
20210715-r41007,188,0,0,0,1,7,19,167,238,625,0,0,0,0,23,64,214,0
20210719-r11008,295,0,0,0,2,25,9,39,50,217,0,0,0,0,0,1,48,0
20210722-r41008,181,0,0,0,0,0,2,10,86,483,0,0,0,0,2,10,4,738
20210726-r11009,130,0,0,0,0,0,1,5,91,389,0,0,0,0,0,0,8,0
20210729-r41009,167,0,0,0,0,1,3,34,298,647,0,0,0,0,20,2,0,160
20210802-r11010,47,0,0,0,0,0,7,9,58,337,0,0,0,0,5,1,0,420
20210804-r41010,97,0,0,0,0,0,1,32,287,530,0,0,0,0,13,14,24,422
20210810-r11011,115,0,0,0,0,10,28,135,685,736,0,0,0,0,1,0,0,478
20210812-r41011,75,0,0,0,0,0,0,6,45,386,0,0,0,0,5,3,438,0
20210817-r11012,134,0,0,0,2,2,4,79,546,1040,0,0,0,0,0,11,10,382
20210819-r41012,223,0,0,0,0,0,4,19,146,605,0,0,0,0,12,29,12,446
20210823-r11013,94,0,0,0,1,9,21,101,417,637,0,0,0,0,0,4,4,444
20210825-rd2106,119,0,0,1,7,87,1,164,84,256,0,0,0,0,53,0,4,188
20210826-r41013,282,0,0,0,0,3,16,59,175,961,0,0,0,0,15,65,244,0
20210830-r11014,160,0,0,0,4,8,38,172,1050,870,0,0,0,0,2,0,0,752
20210902-r41014,190,0,0,0,0,0,4,34,265,884,0,0,0,0,15,0,54,194
20210907-r11015,191,0,0,0,0,27,7,43,57,373,0,0,0,0,0,0,0,0
