VgosDB,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_B,Total_D,Total_E,Total_F,Total_G,Total_H,Total_N,Total_-
20200330-r1940,26,0,0,1,0,2,2,49,234,1913,0,0,0,0,5,0,8,1084
20200402-r4940,36,0,0,0,0,2,0,8,38,980,0,0,0,0,3,1,2,862
20200406-r1941,21,0,0,0,0,1,0,13,112,1839,0,0,0,0,1,5,0,74
20200414-r1942,16,0,0,0,2,7,8,28,155,1102,0,0,0,0,6,0,1656,0
20200416-r4942,15,0,0,0,0,0,2,7,40,748,0,0,0,0,2,0,4,0
20200420-r1943,29,0,1,0,0,2,11,61,253,1167,0,0,0,0,1,1,1206,332
20200421-t2138,384,0,0,0,6,8,27,101,323,543,0,0,0,0,0,0,0,286
20200422-r4943,31,0,0,0,0,0,1,5,41,1133,0,0,0,0,1,4,0,22
20200427-r1944,79,0,0,0,0,0,1,10,94,1325,0,0,0,0,8,9,0,86
20200429-r4944,45,0,0,0,0,0,0,0,15,818,0,0,0,0,1,1,4,0
20200504-r1945,82,0,0,0,0,0,1,1,65,1955,0,0,0,0,0,0,4,668
20200506-rd2004,61,0,0,0,0,3,2,11,81,524,0,0,0,0,0,0,176,0
20200507-r4945,39,0,0,0,0,0,0,6,71,506,0,0,0,0,0,2,4,2
20200511-r1946,74,0,0,0,0,1,3,30,128,1427,0,0,0,0,8,27,2,68
20200514-r4946,71,0,0,0,0,0,0,0,10,588,0,0,0,0,2,1,0,0
20200518-r1947,28,0,0,0,1,10,4,36,196,2102,0,0,0,0,12,0,9,0
20200526-r1948,23,0,0,0,0,13,0,16,83,857,0,0,0,0,71,0,19,822
20200528-r4948,108,0,0,0,0,0,0,0,12,661,0,0,0,0,2,1,0,2
20200602-r1949,44,0,0,0,0,1,0,5,64,1411,0,0,0,0,1,0,4,0
20200604-r4949,108,0,0,0,0,0,0,1,17,703,0,0,0,0,1,2,0,0
20200608-r1950,124,0,0,0,0,0,1,8,50,1221,0,0,0,0,12,0,0,530
20200610-r4950,232,0,0,0,0,0,0,4,68,660,0,0,0,0,2,0,8,0
20200615-r1951,1,0,0,0,0,0,2,9,109,553,0,0,0,0,16,0,0,1024
20200618-r4951,49,0,0,0,0,2,0,0,8,679,0,0,0,0,0,0,2,46
20200622-r1952,82,0,0,0,0,16,33,74,360,3726,0,0,0,0,16,1,2,54
20200623-t2139,84,0,0,0,0,7,13,39,39,158,0,0,0,0,0,0,144,0
20200624-rd2005,13,0,0,0,0,0,4,13,120,783,0,0,0,0,11,2,0,23
20200625-r4952,39,0,0,0,0,0,1,0,7,381,0,0,0,0,2,4,14,0
20200629-r1953,5,0,0,0,0,1,1,8,59,587,0,0,0,0,1,0,2,686
20200701-r4953,55,0,0,0,0,0,0,1,13,816,0,0,0,0,4,5,0,26
20200706-r1954,3,0,0,0,0,0,0,5,59,433,0,0,0,0,0,0,0,694
20200708-rd2006,4,0,0,0,0,0,1,24,163,1312,0,0,0,0,12,0,0,0
20200709-r4954,66,0,0,0,0,0,0,1,16,716,0,0,0,0,1,2,26,0
20200713-r1955,21,0,0,0,0,6,9,55,221,1435,0,0,0,0,4,1,0,124
20200714-t2140,293,0,0,1,6,12,43,51,63,288,0,0,0,0,1,0,70,1024
20200716-r4955,75,0,0,0,0,0,2,4,42,373,0,0,0,0,1,3,0,352
20200720-r1956,401,0,0,0,0,2,9,41,282,2319,0,0,0,0,2,0,2,258
20200723-r4956,65,0,0,0,0,0,1,4,24,674,0,0,0,0,0,0,0,4
20200727-r1957,32,0,0,0,0,0,4,8,37,304,0,0,0,0,1,0,2,58
20200730-r4957,416,0,0,0,0,2,12,10,51,634,0,0,0,0,1,0,306,0
20200818-r1960,552,0,0,0,1,15,24,82,294,1974,0,0,0,0,5,3,106,580
20200820-r4960,206,0,0,0,0,0,0,0,8,311,0,0,0,0,1,2,0,322
