VgosDB,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_G,Total_H
20250811-r11220, 54, 0, 0, 2, 5, 13, 26, 38, 99, 716, 0, 12
20250623-r11213, 25, 0, 0, 1, 3, 11, 8, 31, 125, 645, 16, 0
20250630-r11214, 35, 0, 1, 2, 4, 48, 10, 85, 121, 1162, 101, 0
20250707-r11215, 56, 0, 1, 12, 35, 51, 80, 103, 163, 1033, 6, 8
20250625-vo5176, 251, 17, 46, 100, 149, 145, 345, 750, 1521, 1109, 365, 93
20250710-r41215, 21, 0, 0, 0, 2, 6, 10, 25, 136, 537, 4, 1
20250703-r41214, 3, 0, 0, 0, 1, 1, 12, 15, 111, 374, 0, 0
